Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-05-07,0.2179942617,0.2172083302,0.2228011643,0.215152333
XRP,2020-05-08,0.2188917818,0.2179916548,0.2212204797,0.2099801471
XRP,2020-05-09,0.2197877433,0.2189507802,0.2222358789,0.2145275214
XRP,2020-05-10,0.2181760876,0.2198228819,0.2256993579,0.216309428
XRP,2020-05-11,0.197604161,0.2181578176,0.2189733911,0.180016007
XRP,2020-05-12,0.1918793476,0.1973245369,0.2003244916,0.184903788
XRP,2020-05-13,0.1974537978,0.1918852582,0.2001008442,0.1908408319
XRP,2020-05-14,0.2023827342,0.1973395492,0.2044343201,0.1959250487
XRP,2020-05-15,0.2042350341,0.2023822309,0.2064743682,0.1987819596
XRP,2020-05-16,0.1991496734,0.2040003107,0.2047556009,0.1951946929
XRP,2020-05-17,0.200273805,0.1991501043,0.2021211252,0.196587742
XRP,2020-05-18,0.2015597293,0.2002559347,0.2046215663,0.1989317825
XRP,2020-05-19,0.2049320736,0.2012715433,0.207725014,0.2011427858
XRP,2020-05-20,0.2042454239,0.2049221718,0.2067189023,0.2008881016
XRP,2020-05-21,0.2014163914,0.204238155,0.206137785,0.1977601759
XRP,2020-05-22,0.1954945482,0.2014224585,0.2031715152,0.1892919552
XRP,2020-05-23,0.2010056481,0.1954911343,0.2025245976,0.1920576489
XRP,2020-05-24,0.199780694,0.2010056482,0.2022433106,0.1981268604
XRP,2020-05-25,0.1979003104,0.1997764376,0.2012778269,0.1947237588
XRP,2020-05-26,0.1948875826,0.1979001423,0.1979001423,0.188742611
XRP,2020-05-27,0.19420557,0.1948874176,0.1972473575,0.1915513187
XRP,2020-05-28,0.1968584497,0.19420557,0.2001989745,0.1934020764
XRP,2020-05-29,0.1988418755,0.1968474044,0.199106424,0.1921881444
XRP,2020-05-30,0.1972922318,0.1988162247,0.2028600668,0.1962712231
XRP,2020-05-31,0.2071947825,0.1974591757,0.2078155736,0.1960549724
XRP,2020-06-01,0.2018613827,0.2071843911,0.2134657899,0.200349761
XRP,2020-06-02,0.2119883894,0.2018581844,0.2127028677,0.2011744962
XRP,2020-06-03,0.2026398939,0.211984873,0.2145683456,0.1973691202
XRP,2020-06-04,0.2039446663,0.2026401757,0.204820865,0.2009517108
XRP,2020-06-05,0.2043781998,0.2039448837,0.2072292608,0.2003864137
XRP,2020-06-06,0.2032595468,0.2043799778,0.2058805208,0.2013729537
XRP,2020-06-07,0.2036504174,0.2032575869,0.2048704605,0.2013230894
XRP,2020-06-08,0.2030968132,0.2036504157,0.2049094298,0.1987044394
XRP,2020-06-09,0.2042244228,0.2030968418,0.2043818927,0.2013159666
XRP,2020-06-10,0.2017505736,0.2042009432,0.2051967886,0.1997375654
XRP,2020-06-11,0.2026032611,0.2017689757,0.2037809695,0.1997340298
XRP,2020-06-12,0.1879368341,0.20260327,0.2036140754,0.1846303204
XRP,2020-06-13,0.192848271,0.1879409786,0.1951034738,0.1868804352
XRP,2020-06-14,0.192529782,0.1928485458,0.1937597852,0.1908871381
XRP,2020-06-15,0.1905412147,0.192529782,0.1926721481,0.1886686638
XRP,2020-06-16,0.1926509526,0.1905394118,0.1934544566,0.1819942922
XRP,2020-06-17,0.1919377288,0.192652197,0.1939980191,0.1903585036
XRP,2020-06-18,0.1931998636,0.1919378334,0.1986918704,0.1884163332
XRP,2020-06-19,0.1900609184,0.1931990836,0.1933532262,0.1880857788
XRP,2020-06-20,0.1867209049,0.1900713108,0.1901777683,0.1865451478
XRP,2020-06-21,0.1880511597,0.1867088034,0.1888259888,0.1847796695
XRP,2020-06-22,0.1857377741,0.1880510705,0.188364111,0.1855584283
XRP,2020-06-23,0.1897518358,0.1857415211,0.1903536605,0.1855697128
XRP,2020-06-24,0.1887640563,0.1897515527,0.1904498436,0.1883690217
XRP,2020-06-25,0.1838391076,0.188767814,0.1900656677,0.1815461086
XRP,2020-06-26,0.1816840869,0.1838384413,0.183946072,0.1785750867
XRP,2020-06-27,0.1830036092,0.1816937199,0.1868317032,0.1783740725
XRP,2020-06-28,0.1759058836,0.1830031143,0.1833585901,0.1693314767
XRP,2020-06-29,0.1767573131,0.1759056925,0.1797899477,0.1732741263
XRP,2020-06-30,0.1774300595,0.1767580829,0.1791554052,0.1749355578
XRP,2020-07-01,0.1753667487,0.1774300495,0.1776594634,0.1748581038
XRP,2020-07-02,0.1767258314,0.1753383888,0.1783091134,0.1738401237
XRP,2020-07-03,0.1753467714,0.176620427,0.1772984135,0.1723610825
XRP,2020-07-04,0.1768591626,0.1749458451,0.1787016082,0.1745376317
XRP,2020-07-05,0.1779186106,0.1763586029,0.1794892296,0.1760884315
XRP,2020-07-06,0.1763761404,0.1781739927,0.1788595649,0.1738906629
XRP,2020-07-07,0.1870817709,0.1770584649,0.1885150478,0.1765867385
XRP,2020-07-08,0.1847512014,0.1887496999,0.1896141795,0.183256386
XRP,2020-07-09,0.2054616477,0.1852329907,0.2060838441,0.1841291634
XRP,2020-07-10,0.2019085145,0.205679293,0.2117314576,0.1983214811
XRP,2020-07-11,0.1980969291,0.2027209269,0.2027906702,0.1928943636
XRP,2020-07-12,0.2010837674,0.1990821355,0.2047337869,0.1982660471
XRP,2020-07-13,0.2004377162,0.2012940281,0.2040869877,0.1980063277
XRP,2020-07-14,0.1983432419,0.2013604636,0.2066286728,0.193043793
XRP,2020-07-15,0.1988327076,0.1986804903,0.1997207236,0.1950981637
XRP,2020-07-16,0.1975598485,0.1991713414,0.1998166633,0.1964617585
XRP,2020-07-17,0.1931259394,0.1970645041,0.1974156616,0.1888530795
XRP,2020-07-18,0.1941263291,0.1943120784,0.1978197554,0.1912507297
XRP,2020-07-19,0.1995546906,0.1945123316,0.2020752296,0.194031827
XRP,2020-07-20,0.1992262463,0.2001011228,0.2021651691,0.1960142245
XRP,2020-07-21,0.1943753218,0.199629175,0.2002723449,0.1922413548
XRP,2020-07-22,0.1987869621,0.1947932914,0.2010524494,0.194063062
XRP,2020-07-23,0.2025854252,0.1996833742,0.2031119902,0.1966785608
XRP,2020-07-24,0.2080610394,0.2038755499,0.2105224317,0.2018219167
XRP,2020-07-25,0.2051220585,0.2087854767,0.2087897158,0.202482564
XRP,2020-07-26,0.2151049363,0.2043401592,0.2178307635,0.2040388309
XRP,2020-07-27,0.215804503,0.214939812,0.2251037618,0.2131894129
XRP,2020-07-28,0.2283739972,0.2154675677,0.2293050043,0.2094489053
XRP,2020-07-29,0.231017154,0.2246264558,0.2349721326,0.2174548838
XRP,2020-07-30,0.2476401675,0.2308003983,0.2497698982,0.2296601389
XRP,2020-07-31,0.2461154977,0.243645702,0.2495727535,0.2351339126
XRP,2020-08-01,0.2586176109,0.2444455146,0.2588988637,0.2421093686
XRP,2020-08-02,0.2940673903,0.2598431347,0.298170062,0.2561304033
XRP,2020-08-03,0.290894666,0.2913747406,0.3256927418,0.2514124658
XRP,2020-08-04,0.3112101362,0.2880619757,0.3201840918,0.2842283267
XRP,2020-08-05,0.3028442052,0.3104843998,0.3194211154,0.2920044875
XRP,2020-08-06,0.3016052584,0.3014581194,0.3082248574,0.2912120015
XRP,2020-08-07,0.3043789914,0.3027146476,0.3116485486,0.2976398884
XRP,2020-08-08,0.2961838109,0.3035425715,0.3107606546,0.2804878044
XRP,2020-08-09,0.2943864331,0.2948354733,0.2989642174,0.2903189317
XRP,2020-08-10,0.2883261115,0.2953883584,0.2985487778,0.2825703817
XRP,2020-08-11,0.2946954071,0.2881439892,0.3006233049,0.2853617176
XRP,2020-08-12,0.2805905146,0.294946395,0.3075050464,0.2693336527
XRP,2020-08-13,0.2806661268,0.2832087474,0.2875310854,0.2721562737
XRP,2020-08-14,0.2913831526,0.2824322233,0.2935658661,0.2728800539
XRP,2020-08-15,0.3019620114,0.2946402025,0.3076416189,0.2902925098
XRP,2020-08-16,0.300305192,0.3005267354,0.305206984,0.2924197486
XRP,2020-08-17,0.3009961589,0.2991052236,0.3047689074,0.2924689744
XRP,2020-08-18,0.321769255,0.3046522626,0.3272545759,0.2975591652
XRP,2020-08-19,0.3056641265,0.3156969036,0.3217469628,0.2990751221
XRP,2020-08-20,0.2891040136,0.3028236538,0.3062981367,0.2790694125
XRP,2020-08-21,0.290688993,0.2899969936,0.2947977901,0.2849543088
XRP,2020-08-22,0.2818240525,0.2924407952,0.2958286006,0.2775272237
XRP,2020-08-23,0.2841959118,0.2794676609,0.285051458,0.2737792529
XRP,2020-08-24,0.2851449548,0.2862523436,0.2882401335,0.2787205632
XRP,2020-08-25,0.2886796467,0.2850666009,0.2921865804,0.2825040286
XRP,2020-08-26,0.2772701529,0.2887203154,0.2897037205,0.2704478913
XRP,2020-08-27,0.2771872403,0.2766580677,0.2808952319,0.2743615643
XRP,2020-08-28,0.2626531424,0.2766105343,0.2784134682,0.2552732482
XRP,2020-08-29,0.270030769,0.2648761534,0.2734061213,0.2603834496
XRP,2020-08-30,0.2750064136,0.272039246,0.2769077476,0.269102759
XRP,2020-08-31,0.2818378024,0.2741705504,0.284012037,0.274088811
XRP,2020-09-01,0.2816563419,0.2830581476,0.2846597171,0.2785101276
XRP,2020-09-02,0.2962975185,0.2813790318,0.2989943634,0.2762806379
XRP,2020-09-03,0.2779250321,0.2952790317,0.303971785,0.2644116854
XRP,2020-09-04,0.2603038932,0.2764093197,0.2768074385,0.2558252403
XRP,2020-09-05,0.2561985605,0.2449701689,0.2664257583,0.2412431572
XRP,2020-09-06,0.233500668,0.2544128753,0.2597761641,0.2316588335
XRP,2020-09-07,0.2396095372,0.2375323541,0.2436771201,0.2299704702
XRP,2020-09-08,0.2426888561,0.2400579068,0.2429862247,0.2304773246
XRP,2020-09-09,0.2344431935,0.2421651286,0.2438234204,0.2317014373
XRP,2020-09-10,0.240394664,0.2367430812,0.243004011,0.2332602737
XRP,2020-09-11,0.2434036326,0.2392329882,0.2485993984,0.2390598631
XRP,2020-09-12,0.2433291222,0.2432708121,0.2445534508,0.2378422919
XRP,2020-09-13,0.2471707005,0.2427880347,0.2488597399,0.2405604501
XRP,2020-09-14,0.2418087234,0.247680149,0.2534851235,0.2379873276
XRP,2020-09-15,0.24567871,0.2422113077,0.2486563088,0.2396564819
XRP,2020-09-16,0.2442431177,0.2458666746,0.249433302,0.2428554543
XRP,2020-09-17,0.2489632255,0.2434133485,0.2511795785,0.2345368766
XRP,2020-09-18,0.25204599,0.24708691,0.2585544297,0.2463144432
XRP,2020-09-19,0.2502178562,0.2522866316,0.2552531386,0.2466255688
XRP,2020-09-20,0.2512212029,0.2508155469,0.2548757163,0.2476900539
XRP,2020-09-21,0.2444218993,0.2512364597,0.2512403276,0.2425631017
XRP,2020-09-22,0.2335654935,0.24656612,0.2480279571,0.2294122882
XRP,2020-09-23,0.233316095,0.2310434507,0.2346902853,0.229591651
XRP,2020-09-24,0.2234497847,0.2331758736,0.2351537207,0.2228762086
XRP,2020-09-25,0.2319965592,0.2215537568,0.233072967,0.2196175011
XRP,2020-09-26,0.2431907354,0.2328201621,0.2448188711,0.2300055232
XRP,2020-09-27,0.2416936333,0.2416141287,0.245526493,0.2379389237
XRP,2020-09-28,0.2425049084,0.241635394,0.2447018526,0.2375121903
XRP,2020-09-29,0.2465533951,0.2432932379,0.2484055379,0.2425314641
XRP,2020-09-30,0.2414722771,0.2409783236,0.246168546,0.2385206392
XRP,2020-10-01,0.2401306718,0.2428659586,0.2428990574,0.237640205
XRP,2020-10-02,0.2382351525,0.2417951457,0.2443195187,0.234567329
XRP,2020-10-03,0.2335432099,0.2382612652,0.2394884203,0.2286777511
XRP,2020-10-04,0.2333093745,0.2341020097,0.2351182565,0.2329189643
XRP,2020-10-05,0.2468347439,0.2330463763,0.2502706726,0.2319044685
XRP,2020-10-06,0.2509963394,0.2479846965,0.2542994697,0.2465971288
XRP,2020-10-07,0.244612652,0.2503181548,0.2590342358,0.2419848087
XRP,2020-10-08,0.2478746958,0.245426509,0.2513136753,0.2410280291
XRP,2020-10-09,0.251436157,0.2487288988,0.2530330272,0.2423291425
XRP,2020-10-10,0.2527567789,0.2514920617,0.2567062465,0.2498615152
XRP,2020-10-11,0.2565884094,0.2531702197,0.2591421699,0.2529931574
XRP,2020-10-12,0.2543975473,0.2540184372,0.2583074203,0.2535339775
XRP,2020-10-13,0.2570233993,0.2554884158,0.2583317932,0.2492373185
XRP,2020-10-14,0.2562183048,0.2560925642,0.2601851943,0.2532214453
XRP,2020-10-15,0.2485587526,0.2567296515,0.2585400562,0.2463085715
XRP,2020-10-16,0.2458955714,0.2494033685,0.2504043099,0.2432290161
XRP,2020-10-17,0.2404696909,0.2461247612,0.247981381,0.238022137
XRP,2020-10-18,0.240632642,0.2403111305,0.2432755946,0.2389185457
XRP,2020-10-19,0.2418560234,0.2407304015,0.2434062543,0.2403001513
XRP,2020-10-20,0.2476980077,0.2423874906,0.2493740212,0.2403368226
XRP,2020-10-21,0.243758761,0.2456762033,0.2497496076,0.241821121
XRP,2020-10-22,0.2539784899,0.2434347145,0.2557159449,0.2428962631
XRP,2020-10-23,0.2632285807,0.2511957919,0.2637990138,0.2511271347
XRP,2020-10-24,0.2540916288,0.2573566267,0.2594529672,0.2502913698
XRP,2020-10-25,0.2525100722,0.25483055,0.2579839184,0.251590871
XRP,2020-10-26,0.2480019376,0.2533114145,0.2582736451,0.2437898499
XRP,2020-10-27,0.2514853932,0.2484656924,0.2540132694,0.2478688856
XRP,2020-10-28,0.2463903038,0.2528937574,0.2566500514,0.2445582472
XRP,2020-10-29,0.2424166253,0.2456258081,0.2473567831,0.2402369463
XRP,2020-10-30,0.2393708892,0.2424922324,0.2440854608,0.2311615277
XRP,2020-10-31,0.2409556858,0.2393894047,0.2437694328,0.2377957755
XRP,2020-11-01,0.2403769649,0.2399873292,0.2415661053,0.2378173645
XRP,2020-11-02,0.235406573,0.2401406157,0.2448578089,0.2338559646
XRP,2020-11-03,0.2389167436,0.2354539977,0.2441655197,0.2282639395
