Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-11-04,0.238862276,0.2394588651,0.2403155332,0.2332546915
XRP,2020-11-05,0.2458757403,0.2378277765,0.2475099394,0.2372966894
XRP,2020-11-06,0.2573748238,0.2459124924,0.2614141083,0.2454520256
XRP,2020-11-07,0.2488482901,0.259038712,0.2673665011,0.243805392
XRP,2020-11-08,0.2540722875,0.2490578537,0.2570923425,0.2473991718
XRP,2020-11-09,0.2506855938,0.2538518102,0.2559710548,0.2459996316
XRP,2020-11-10,0.2572899635,0.250614349,0.2647814828,0.2483094246
XRP,2020-11-11,0.257290154,0.2541381329,0.260091341,0.2526951408
XRP,2020-11-12,0.2552176058,0.2560840486,0.258218589,0.2528559421
XRP,2020-11-13,0.2647808905,0.2550665887,0.2658946643,0.2541047255
XRP,2020-11-14,0.2680674882,0.2659080829,0.277451822,0.2615352652
XRP,2020-11-15,0.2677316051,0.2684299959,0.2768033606,0.2643311781
XRP,2020-11-16,0.286668954,0.2697479166,0.2883692215,0.2679025265
XRP,2020-11-17,0.3020312131,0.2882302726,0.3052145978,0.2875766523
XRP,2020-11-18,0.2923571126,0.3026730529,0.3083052474,0.2829478112
XRP,2020-11-19,0.3017196098,0.2935107881,0.3066771009,0.284192571
XRP,2020-11-20,0.3223064703,0.303974195,0.3255716268,0.2971747944
XRP,2020-11-21,0.4323350478,0.3300683824,0.4375641452,0.3296084514
XRP,2020-11-22,0.4699498005,0.4624445138,0.4957195201,0.4044649991
XRP,2020-11-23,0.5971630768,0.4458784625,0.5975249607,0.434764342
XRP,2020-11-24,0.6843582084,0.6164702833,0.7532326684,0.5689568307
XRP,2020-11-25,0.6183095041,0.6938089937,0.7183018743,0.5852340099
XRP,2020-11-26,0.5368284541,0.6307027387,0.6500832026,0.4576844647
XRP,2020-11-27,0.5520227088,0.5378041452,0.5874903201,0.5055545457
XRP,2020-11-28,0.6244374682,0.562648078,0.649419351,0.5423186991
XRP,2020-11-29,0.6062025925,0.6266800484,0.6376505875,0.5840091839
XRP,2020-11-30,0.6482212275,0.6060086296,0.6718134631,0.5999570162
XRP,2020-12-01,0.6268505357,0.6639164419,0.681392788,0.5808825176
XRP,2020-12-02,0.622005745,0.6118596058,0.6308841249,0.5956953167
XRP,2020-12-03,0.6283939587,0.6302500323,0.6423709257,0.6157885322
XRP,2020-12-04,0.5580343742,0.6310430862,0.6345357817,0.5437107939
XRP,2020-12-05,0.5813601416,0.5540711803,0.5969919315,0.548928222
XRP,2020-12-06,0.6135578032,0.5856452632,0.6284617289,0.5849748968
XRP,2020-12-07,0.6044608579,0.6216465701,0.6242218973,0.5923931451
XRP,2020-12-08,0.5707178201,0.6084378085,0.6104847359,0.5651559192
XRP,2020-12-09,0.5855545953,0.5587007108,0.6049747948,0.5036775366
XRP,2020-12-10,0.5766757869,0.5832447783,0.5881412739,0.5528924047
XRP,2020-12-11,0.5802656001,0.5727840439,0.5894501089,0.5263435922
XRP,2020-12-12,0.5190418102,0.5543409678,0.5543525664,0.4858762455
XRP,2020-12-13,0.506438613,0.5069598291,0.5277629546,0.4874881171
XRP,2020-12-14,0.4978569899,0.5132859198,0.517974902,0.4890398038
XRP,2020-12-15,0.4720283153,0.4972820072,0.5069065221,0.4669479007
XRP,2020-12-16,0.5389033232,0.4681961215,0.542757685,0.4376365746
XRP,2020-12-17,0.5853313285,0.5698583924,0.6583571095,0.5384657257
XRP,2020-12-18,0.5850516057,0.5775652975,0.613627208,0.5512488983
XRP,2020-12-19,0.58861224,0.5839296046,0.6034581858,0.568112679
XRP,2020-12-20,0.5608713514,0.5769542176,0.5861915018,0.5311476619
XRP,2020-12-21,0.5280906399,0.5560300211,0.5691298573,0.503842535
XRP,2020-12-22,0.4320183727,0.5146215514,0.5221451193,0.4025348515
XRP,2020-12-23,0.2753894093,0.4461654155,0.4476597377,0.215061063
XRP,2020-12-24,0.2880242244,0.260309203,0.303191468,0.2405219267
XRP,2020-12-25,0.3226112947,0.338736645,0.3823153068,0.2823634974
XRP,2020-12-26,0.2932066316,0.3177871174,0.3263439693,0.2831009747
XRP,2020-12-27,0.2826683257,0.2942657133,0.3101660089,0.2665155765
XRP,2020-12-28,0.2528829109,0.2832348451,0.3092179356,0.2504317243
XRP,2020-12-29,0.2224788506,0.2476848965,0.2496967891,0.1724755357
XRP,2020-12-30,0.218717786,0.2210538644,0.2359853851,0.1918457896
XRP,2020-12-31,0.221629887,0.2114133405,0.2292296861,0.2055006817
XRP,2021-01-01,0.2382739578,0.2196346916,0.2504070138,0.2164380494
XRP,2021-01-02,0.2209799795,0.2376562671,0.2382521123,0.2084235889
XRP,2021-01-03,0.2232541005,0.2200073858,0.2362063115,0.214113394
XRP,2021-01-04,0.2328380408,0.2236054761,0.2551233408,0.2174096958
XRP,2021-01-05,0.2262117709,0.235654973,0.2425952941,0.2182468317
XRP,2021-01-06,0.2549452715,0.2260970724,0.2701864359,0.2218315542
XRP,2021-01-07,0.3366451832,0.2488721197,0.3696077614,0.2458793139
XRP,2021-01-08,0.310874365,0.3233521469,0.3455027024,0.2858344474
XRP,2021-01-09,0.3256579538,0.3200239723,0.3394489423,0.3054766286
XRP,2021-01-10,0.3160431785,0.3241473484,0.3620431313,0.2856536894
XRP,2021-01-11,0.285123383,0.3145559895,0.3156518274,0.2535758705
XRP,2021-01-12,0.2941841852,0.2875850778,0.3098713686,0.2775314589
XRP,2021-01-13,0.304657963,0.2927474603,0.3169204402,0.2853404329
XRP,2021-01-14,0.2927797771,0.305708029,0.3088110624,0.2834023657
XRP,2021-01-15,0.2804572849,0.2961279849,0.3027730547,0.2619945124
XRP,2021-01-16,0.2790499709,0.2800511261,0.2965042102,0.2754857877
XRP,2021-01-17,0.279679599,0.2793505352,0.2856612372,0.2686154703
XRP,2021-01-18,0.2835562458,0.277596832,0.2887508247,0.2717377117
XRP,2021-01-19,0.3000974769,0.2853718946,0.3294501042,0.2841846187
XRP,2021-01-20,0.292645539,0.294108122,0.3114836619,0.280296772
XRP,2021-01-21,0.2663555238,0.2956285596,0.3077736475,0.2601419033
XRP,2021-01-22,0.2748369671,0.2679934991,0.2785951155,0.2409295855
XRP,2021-01-23,0.2705822724,0.2727392577,0.2831292708,0.2659948822
XRP,2021-01-24,0.2734141385,0.2718263711,0.2781443821,0.2687445081
XRP,2021-01-25,0.2694332553,0.2737065647,0.2851106372,0.2672157434
XRP,2021-01-26,0.267654215,0.2676230816,0.2712218663,0.259208973
XRP,2021-01-27,0.2528538142,0.2685006404,0.2688569207,0.2449122621
XRP,2021-01-28,0.2643886601,0.2510847128,0.26538479,0.2476789197
XRP,2021-01-29,0.2871509499,0.2645357905,0.3097387747,0.2602866125
XRP,2021-01-30,0.4140378519,0.2831344158,0.5167919068,0.2783545695
XRP,2021-01-31,0.4883790329,0.4439224616,0.5094412917,0.3881154551
XRP,2021-02-01,0.3784932399,0.4958893478,0.7554210508,0.3602433454
XRP,2021-02-02,0.3680820549,0.3715944288,0.4118016036,0.3457446736
XRP,2021-02-03,0.3946353201,0.373147721,0.4189359671,0.3730879959
XRP,2021-02-04,0.4606355249,0.3974381926,0.4813252799,0.3806465236
XRP,2021-02-05,0.4406914837,0.4455069283,0.4721156686,0.425430971
XRP,2021-02-06,0.4466640835,0.4522913685,0.4569755395,0.429048363
XRP,2021-02-07,0.41625452,0.4436234784,0.4512118406,0.3927708198
XRP,2021-02-08,0.4478018981,0.4190939952,0.469737576,0.4133697337
XRP,2021-02-09,0.4677291179,0.4516292578,0.4909573395,0.4495108945
XRP,2021-02-10,0.5040096331,0.4770653458,0.5403372521,0.4517274179
XRP,2021-02-11,0.5249705789,0.505068161,0.5358222754,0.5006412868
XRP,2021-02-12,0.5948924645,0.5285560887,0.5983473019,0.5193848587
XRP,2021-02-13,0.6216250797,0.6100727171,0.6434643218,0.5437574823
XRP,2021-02-14,0.6060273379,0.6338678668,0.6404702918,0.5713991451
XRP,2021-02-15,0.5613764377,0.5928213467,0.6043757269,0.5116788113
XRP,2021-02-16,0.5123569932,0.5501291335,0.5802547348,0.4828351338
XRP,2021-02-17,0.5398319883,0.5202895041,0.5570286473,0.4974258867
XRP,2021-02-18,0.5357410155,0.5343875088,0.5600433454,0.521147851
XRP,2021-02-19,0.5640244103,0.5322339007,0.5818888074,0.5147069724
XRP,2021-02-20,0.4901660217,0.5638005034,0.5772399196,0.47437648
XRP,2021-02-21,0.5342306006,0.5121385101,0.5584228344,0.5036188738
XRP,2021-02-22,0.5751066159,0.5446932765,0.6500590226,0.5155058338
XRP,2021-02-23,0.4611395098,0.5665591992,0.571362285,0.3672024987
XRP,2021-02-24,0.4602456669,0.4758968272,0.5004789264,0.4517372729
XRP,2021-02-25,0.4530690895,0.4692921485,0.4822568405,0.4452382982
XRP,2021-02-26,0.4248839993,0.4364027889,0.4506538884,0.4120992292
XRP,2021-02-27,0.4416773496,0.4281019703,0.4590603227,0.4274747863
XRP,2021-02-28,0.4153934505,0.4368136137,0.4393429511,0.3940804399
XRP,2021-03-01,0.445886246,0.4162247812,0.4541302059,0.4129406449
XRP,2021-03-02,0.4331931196,0.4456753439,0.4553675436,0.422047025
XRP,2021-03-03,0.4504773175,0.4364144225,0.468313198,0.4311247656
XRP,2021-03-04,0.470374782,0.4490704203,0.4945178841,0.4360023466
XRP,2021-03-05,0.4623413074,0.4816096161,0.4849336897,0.4465415685
XRP,2021-03-06,0.4616884552,0.4551145758,0.4711201369,0.44978303
XRP,2021-03-07,0.4630809013,0.4629347292,0.4689535038,0.4570037092
XRP,2021-03-08,0.4728723067,0.4656412935,0.4900995131,0.4558129543
XRP,2021-03-09,0.4835824267,0.4740044711,0.484455391,0.4712603054
XRP,2021-03-10,0.4645758491,0.4854761568,0.4889508455,0.4558677867
XRP,2021-03-11,0.4519304746,0.4621001807,0.4645259425,0.440803451
XRP,2021-03-12,0.4373724873,0.452146596,0.4646689756,0.4234540115
XRP,2021-03-13,0.4560565314,0.4393804196,0.4631968175,0.4323071747
XRP,2021-03-14,0.4449926005,0.455952611,0.4594496575,0.4410750238
XRP,2021-03-15,0.4364263991,0.4385116651,0.4475839418,0.4232317815
XRP,2021-03-16,0.4612506821,0.4362866664,0.5215547138,0.4280697172
XRP,2021-03-17,0.4713340637,0.4603299324,0.4822439788,0.4543006704
XRP,2021-03-18,0.4716274597,0.4696995856,0.4905413976,0.4657609377
XRP,2021-03-19,0.4691629998,0.4691738453,0.4751688052,0.4593438068
XRP,2021-03-20,0.5441844904,0.4673679214,0.5503767625,0.4654363439
XRP,2021-03-21,0.5167927099,0.5261267057,0.5469874374,0.4962871862
XRP,2021-03-22,0.5518609296,0.5168988591,0.5999075285,0.5032050767
XRP,2021-03-23,0.5527798962,0.5446788377,0.5967447118,0.5380508352
XRP,2021-03-24,0.4780556352,0.5495260357,0.563186536,0.4539027194
XRP,2021-03-25,0.5144782168,0.4807570744,0.5246004031,0.4573158113
XRP,2021-03-26,0.5537454657,0.5111124974,0.5681051962,0.5109260263
XRP,2021-03-27,0.5553684068,0.5639064961,0.5746056277,0.5345422316
XRP,2021-03-29,0.5457098397,0.5477381399,0.5605555122,0.5398375992
XRP,2021-03-30,0.5609770244,0.5456249964,0.5703711491,0.5434782912
XRP,2021-03-31,0.5636494319,0.5652346701,0.5868801034,0.5590513406
XRP,2021-04-01,0.5602015134,0.5630305798,0.5722810914,0.529053938
XRP,2021-04-02,0.5698067475,0.5698909498,0.5946918324,0.549012692
XRP,2021-04-03,0.5953060602,0.5707794554,0.6090819727,0.5654351006
XRP,2021-04-04,0.5848547594,0.6067804162,0.6414655179,0.5749317764
XRP,2021-04-05,0.6231195883,0.5792488943,0.6266859304,0.5678085223
XRP,2021-04-06,0.9017878569,0.6352438844,0.9385285879,0.6199649975
XRP,2021-04-07,1.0305885961,0.9155255607,1.0999469692,0.8079743764
XRP,2021-04-08,0.9434087225,1.0965071409,1.1086655734,0.8573626911
XRP,2021-04-09,1.0618903632,0.9161491076,1.072294887,0.9031362599
XRP,2021-04-10,1.0550273169,1.0565110883,1.0844189927,0.9821430962
XRP,2021-04-11,1.3184414118,1.0181349897,1.3949321923,1.0071750246
XRP,2021-04-12,1.3692542827,1.3723918371,1.4938889849,1.3047773759
XRP,2021-04-13,1.3911648927,1.351759292,1.4140577979,1.3201007005
XRP,2021-04-14,1.7510733708,1.4685535726,1.8880066304,1.4207038211
XRP,2021-04-15,1.8098230215,1.795494341,1.9649851201,1.5731314415
XRP,2021-04-16,1.8037700943,1.835287705,1.8842952406,1.654937521
XRP,2021-04-17,1.6196739154,1.7595663067,1.8104791545,1.4217975872
XRP,2021-04-18,1.5719284211,1.5503805554,1.7427033332,1.5353127349
XRP,2021-04-19,1.449742153,1.5440904504,1.5684914439,1.1701358221
XRP,2021-04-20,1.3529278716,1.4122053163,1.5345093734,1.2519942221
XRP,2021-04-21,1.3680334964,1.3116640512,1.4480365078,1.1831565178
XRP,2021-04-22,1.3118370206,1.3869890257,1.4630538632,1.2958433297
XRP,2021-04-23,1.1800566169,1.2918735827,1.4191577746,1.0941613632
XRP,2021-04-24,1.1186440251,1.1560311903,1.1967074319,0.8923034719
XRP,2021-04-25,1.0852741259,1.1725426409,1.1739254426,1.0260368923
XRP,2021-04-26,1.0270656388,1.0517582532,1.1580425566,0.947159947
XRP,2021-04-27,1.3125997087,1.0366956788,1.3509461112,1.0165525454
XRP,2021-04-28,1.4002529246,1.3649773489,1.4629739199,1.332271901
XRP,2021-04-29,1.3577702395,1.4035536415,1.4487264898,1.2851418875
XRP,2021-04-30,1.3900800278,1.3587937126,1.4180010038,1.3282345845
XRP,2021-05-01,1.591161543,1.3992470359,1.6405105939,1.3759249427
XRP,2021-05-02,1.6422094114,1.5994976068,1.6545849528,1.524133213
XRP,2021-05-03,1.5570242005,1.6514879748,1.657779989,1.5276580321
XRP,2021-05-04,1.5529424037,1.562421445,1.6224729589,1.5326585391
XRP,2021-05-05,1.3945705241,1.5557641072,1.5586653459,1.3430318636
XRP,2021-05-06,1.5900460328,1.3891934012,1.6084130401,1.3694214876
